ts_code,trade_date,open,high,low,close,vol,amount,adj_factor
159915.SZ,20200102,1.743,1.771,1.731,1.765,3380825.32,593821.307,1.0
159985.SZ,20200102,0.989,0.992,0.986,0.988,118014.11,11672.903,1.0
510300.SH,20200102,4.65972,4.720794000000001,4.657458,4.692519,6276236.14,2603983.236,1.131
512890.SH,20200102,1.205,1.234,1.205,1.228,76885.0,9447.043,1.0
518880.SH,20200102,3.371,3.377,3.368,3.37,3818438.14,1287583.746,1.0
159915.SZ,20200103,1.766,1.774,1.751,1.764,2746860.29,484657.154,1.0
159985.SZ,20200103,0.988,0.992,0.984,0.984,105365.08,10412.359,1.0
510300.SH,20200103,4.700436,4.707222,4.674423,4.681209,4696737.76,1948030.083,1.131
512890.SH,20200103,1.227,1.227,1.221,1.223,70568.0,8640.854,1.0
518880.SH,20200103,3.392,3.428,3.39,3.422,3679149.83,1254881.697,1.0
159915.SZ,20200106,1.756,1.806,1.753,1.788,4166991.55,744384.661,1.0
159985.SZ,20200106,0.979,0.98,0.976,0.978,115055.11,11249.379,1.0
510300.SH,20200106,4.666506,4.717401000000001,4.630314,4.663113,6665047.83,2760524.448,1.131
512890.SH,20200106,1.227,1.232,1.218,1.222,121321.0,14886.793,1.0
518880.SH,20200106,3.496,3.51,3.493,3.497,4607804.93,1613494.876,1.0
159915.SZ,20200107,1.792,1.823,1.792,1.822,3945590.43,713661.489,1.0
159985.SZ,20200107,0.98,0.98,0.978,0.978,39603.01,3877.502,1.0
510300.SH,20200107,4.675554,4.70496,4.668768,4.699305000000001,4649595.14,1927362.283,1.131
512890.SH,20200107,1.223,1.228,1.222,1.226,56562.0,6932.065,1.0
518880.SH,20200107,3.472,3.475,3.447,3.466,3610569.66,1249704.636,1.0
159915.SZ,20200108,1.808,1.822,1.789,1.792,4959107.39,894926.575,1.0
159985.SZ,20200108,0.975,0.979,0.972,0.975,178711.16,17420.574,1.0
510300.SH,20200108,4.676685,4.692519,4.633707,4.652934,5628520.67,2321782.204,1.131
512890.SH,20200108,1.223,1.223,1.209,1.21,40401.0,4907.154,1.0
518880.SH,20200108,3.547,3.56,3.511,3.531,5462981.89,1926679.989,1.0
159915.SZ,20200109,1.811,1.842,1.811,1.839,4475689.34,818555.09,1.0
159985.SZ,20200109,0.971,0.974,0.967,0.97,206169.05,19991.686,1.0
510300.SH,20200109,4.680078,4.710615,4.675554,4.702698000000001,3944317.22,1636905.845,1.131
512890.SH,20200109,1.227,1.227,1.217,1.221,59845.0,7302.113,1.0
518880.SH,20200109,3.44,3.451,3.397,3.408,4458190.2,1534083.852,1.0
159915.SZ,20200110,1.847,1.847,1.821,1.831,3546451.01,650123.952,1.0
159985.SZ,20200110,0.965,0.965,0.955,0.956,297159.15,28490.555,1.0
510300.SH,20200110,4.710615,4.723056000000001,4.686864,4.701567,3795550.0,1576677.929,1.131
512890.SH,20200110,1.226,1.226,1.214,1.218,27058.0,3294.222,1.0
518880.SH,20200110,3.413,3.425,3.413,3.418,2720508.41,930565.151,1.0
159915.SZ,20200113,1.834,1.862,1.82,1.862,4400771.86,812006.315,1.0
159985.SZ,20200113,0.957,0.957,0.947,0.948,194324.36,18484.346,1.0
510300.SH,20200113,4.700436,4.755855,4.683471,4.752462,3736391.85,1558366.39,1.131
512890.SH,20200113,1.213,1.222,1.211,1.222,22002.0,2675.631,1.0
518880.SH,20200113,3.423,3.435,3.413,3.418,4304742.42,1474214.156,1.0
159915.SZ,20200114,1.864,1.871,1.849,1.85,3806679.71,707363.702,1.0
159985.SZ,20200114,0.953,0.953,0.948,0.95,365533.05,34734.123,1.0
510300.SH,20200114,4.752462,4.775082,4.72758,4.7321040000000005,4099628.42,1723090.045,1.131
512890.SH,20200114,1.224,1.226,1.22,1.223,36876.32,4508.195,1.0
518880.SH,20200114,3.368,3.376,3.363,3.374,4245020.86,1430424.559,1.0
159915.SZ,20200115,1.848,1.856,1.829,1.847,2627882.93,484326.113,1.0
159985.SZ,20200115,0.951,0.964,0.951,0.962,251274.85,24068.548,1.0
510300.SH,20200115,4.7321040000000005,4.7388900000000005,4.687995,4.695912,3196074.09,1330016.015,1.131
512890.SH,20200115,1.223,1.223,1.211,1.216,23523.0,2852.404,1.0
518880.SH,20200115,3.398,3.414,3.395,3.403,4208754.02,1434372.564,1.0
159915.SZ,20200116,1.851,1.863,1.842,1.856,2703073.32,501536.387,1.0
159985.SZ,20200116,0.957,0.959,0.955,0.959,109584.03,10490.223,1.0
510300.SH,20200116,4.703829,4.708353000000001,4.676685,4.689126,4162978.01,1726422.321,1.131
512890.SH,20200116,1.215,1.215,1.206,1.208,17115.0,2070.234,1.0
518880.SH,20200116,3.413,3.42,3.403,3.406,4914062.22,1677270.655,1.0
159915.SZ,20200117,1.861,1.874,1.853,1.858,2991225.2,557328.141,1.0
159985.SZ,20200117,0.958,0.959,0.95,0.957,188649.56,18008.007,1.0
510300.SH,20200117,4.695912,4.721925,4.678947,4.694781,3216273.84,1335598.763,1.131
512890.SH,20200117,1.21,1.211,1.203,1.206,24071.0,2911.815,1.0
518880.SH,20200117,3.402,3.41,3.4,3.404,3332206.63,1134252.856,1.0
