factor,return,group, ic_mean , icir_annual ,ic_hit_ratio,ic_monotonicity,long_short_annual,long_short_sharpe,long_excess_annual,long_excess_ir
close_5_tvr_diff_ne,20D,total, 0.087 , 4.10 ,89.17%,98.79%,0.233459767,2.209599007,5.9%,1.15555494
close_5_tvr_ld_diff_ne,20D,total, 0.087 , 4.07 ,89.17%,98.79%,0.227643945,2.129688605,6.0%,1.232358964
close_5_tvr_exp_diff_ne,20D,total, 0.087 , 4.09 ,89.17%,98.79%,0.230736213,2.178811136,5.9%,1.188594875
close_5_amp_diff_ne,20D,total, 0.070 , 4.00 ,88.33%,91.52%,0.189179546,2.176559987,3.5%,0.798512579
close_5_amp_ld_diff_ne,20D,total, 0.071 , 3.99 ,87.50%,91.52%,0.19302603,2.236639689,4.1%,1.012907837
close_5_amp_exp_diff_ne,20D,total, 0.071 , 4.00 ,87.50%,92.73%,0.187561728,2.151796968,3.8%,0.90941545
close_5_tr_diff_ne,20D,total, 0.070 , 4.05 ,86.67%,90.30%,0.186145466,2.147473791,3.5%,0.763610376
close_5_tr_ld_diff_ne,20D,total, 0.070 , 4.01 ,86.67%,92.73%,0.19524278,2.231601603,4.1%,0.923282279
close_5_tr_exp_diff_ne,20D,total, 0.071 , 4.03 ,86.67%,90.30%,0.186689198,2.145480593,3.6%,0.785589291
close_5_plus_diff_ne,20D,total, 0.046 , 3.14 ,81.67%,86.67%,0.14579713,1.613911783,1.7%,0.437238732
close_5_plus_ld_diff_ne,20D,total, 0.052 , 3.25 ,81.67%,83.03%,0.163414741,1.838619654,2.9%,0.783099044
close_5_plus_exp_diff_ne,20D,total, 0.051 , 3.25 ,83.33%,84.24%,0.162860658,1.841318854,2.6%,0.703658977
close_10_tvr_diff_ne,20D,total, 0.085 , 4.07 ,88.33%,97.58%,0.23160152,2.238322277,6.0%,1.210483075
close_10_tvr_ld_diff_ne,20D,total, 0.088 , 4.07 ,88.33%,96.36%,0.231347615,2.15785673,5.9%,1.185699921
close_10_tvr_exp_diff_ne,20D,total, 0.087 , 4.07 ,88.33%,97.58%,0.234824722,2.200670044,6.3%,1.281761983
close_10_amp_diff_ne,20D,total, 0.066 , 3.94 ,89.17%,91.52%,0.177825364,1.976616341,3.2%,0.765957176
close_10_amp_ld_diff_ne,20D,total, 0.072 , 3.98 ,87.50%,92.73%,0.189339218,2.055828428,3.2%,0.747140849
close_10_amp_exp_diff_ne,20D,total, 0.070 , 3.98 ,87.50%,91.52%,0.188337771,2.06455328,3.4%,0.829037751
close_10_tr_diff_ne,20D,total, 0.066 , 3.95 ,90.00%,92.73%,0.178878792,2.076552351,2.9%,0.704757934
close_10_tr_ld_diff_ne,20D,total, 0.072 , 4.00 ,86.67%,87.88%,0.188308741,2.081137395,2.8%,0.624254555
close_10_tr_exp_diff_ne,20D,total, 0.070 , 3.99 ,87.50%,91.52%,0.188026095,2.186760924,3.2%,0.773250934
close_10_plus_diff_ne,20D,total, 0.039 , 2.88 ,79.17%,75.76%,0.130925602,1.706545445,1.6%,0.404997622
close_10_plus_ld_diff_ne,20D,total, 0.051 , 3.17 ,79.17%,81.82%,0.157133369,1.800427896,1.8%,0.487412813
close_10_plus_exp_diff_ne,20D,total, 0.046 , 3.07 ,78.33%,80.61%,0.143665635,1.671618138,1.5%,0.396775764
