factor,return,group, ic_mean , icir_annual ,ic_hit_ratio,ic_monotonicity,long_short_annual,long_short_sharpe,long_excess_annual,long_excess_ir
tvr_mean_20,20D,total, -0.091 , -2.00 ,0.733333,0.284848,0.19782,0.969857,0.002627,0.029263
tvr_mean_20_desize,20D,total, -0.101 , -2.58 ,0.766667,0.866667,0.256651,1.491958,0.051042,0.789384
tvr_mean_20_ne,20D,total, -0.094 , -3.38 ,0.808333,1,0.244536,1.851965,0.060056,1.351553
tvr_msr_20,20D,total, 0.045 , 2.22 ,0.783333,0.975758,0.119625,1.154038,0.035587,0.710403
tvr_msr_20_desize,20D,total, 0.049 , 2.89 ,0.808333,0.987879,0.146278,1.722473,0.048758,1.15564
tvr_msr_20_ne,20D,total, 0.043 , 3.10 ,0.833333,0.975758,0.115279,1.565702,0.038202,1.045002
tvr_std_20,20D,total, -0.095 , -2.38 ,0.775,0.624242,0.21133,1.146659,0.01108,0.132296
tvr_std_20_desize,20D,total, -0.107 , -3.20 ,0.8,0.951515,0.292136,1.92588,0.081957,1.267105
tvr_std_20_ne,20D,total, -0.096 , -3.92 ,0.866667,1,0.253327,2.118379,0.072528,1.496167
,,,,,,,,,,
factor,return,group, ic_mean , icir_annual ,ic_hit_ratio,ic_monotonicity,long_short_annual,long_short_sharpe,long_excess_annual,long_excess_ir
tvr_mean_20,20D,"(-0.001, 0.25]", 0.000 , 0.01 ,0.491667,0.878788,0.077272,0.399517,0.010134,0.117141
tvr_mean_20,20D,"(0.25, 0.5]", -0.015 , -0.28 ,0.516667,-0.951515,-0.060699,-0.440298,-0.040858,-0.446609
tvr_mean_20,20D,"(0.5, 0.75]", -0.029 , -0.53 ,0.591667,-0.806061,-0.042309,-0.284442,-0.038856,-0.311536
tvr_mean_20,20D,"(0.75, 1.0]", -0.109 , -2.90 ,0.783333,0.927273,0.313516,1.62333,0.049712,0.517239
tvr_mean_20,20D,total, -0.091 , -2.00 ,0.733333,0.284848,0.19782,0.969857,0.002627,0.029263
tvr_mean_20_desize,20D,"(-0.001, 0.25]", -0.030 , -0.83 ,0.608333,0.115152,0.021001,0.007382,0.010068,0.174845
tvr_mean_20_desize,20D,"(0.25, 0.5]", -0.023 , -0.54 ,0.558333,-0.769697,-0.036709,-0.343395,-0.034356,-0.508837
tvr_mean_20_desize,20D,"(0.5, 0.75]", -0.037 , -0.78 ,0.616667,-0.648485,-0.003886,-0.120807,-0.012089,-0.126779
tvr_mean_20_desize,20D,"(0.75, 1.0]", -0.113 , -3.14 ,0.833333,0.975758,0.240485,1.161034,0.076661,0.831669
tvr_mean_20_desize,20D,total, -0.101 , -2.58 ,0.766667,0.866667,0.256651,1.491958,0.051042,0.789384
tvr_mean_20_ne,20D,"(-0.001, 0.25]", -0.005 , -0.30 ,0.525,-0.381818,-0.02566,-0.620449,-0.009751,-0.210619
tvr_mean_20_ne,20D,"(0.25, 0.5]", -0.007 , -0.36 ,0.55,-0.612121,-0.056849,-0.800255,-0.035075,-0.773845
tvr_mean_20_ne,20D,"(0.5, 0.75]", -0.025 , -0.91 ,0.625,-0.175758,0.000073,-0.166112,0.007813,0.134561
tvr_mean_20_ne,20D,"(0.75, 1.0]", -0.098 , -3.65 ,0.816667,0.987879,0.242235,1.61975,0.091544,1.214614
tvr_mean_20_ne,20D,total, -0.094 , -3.38 ,0.808333,1,0.244536,1.851965,0.060056,1.351553
